fecha;codigo;facultad;area;materia;seccion;horario;dias;inscritos;asistencia;modalidad;inasistencia
ENERO 2023;DPCM1-D;Fac_Der;DERECHO;DERECHO PROCESAL CIVIL Y MERCANTIL I;1;mañana;Ma-Jue;75;70;EN LINEA;5
ENERO 2023;ALG1-E;Fac_InCa;INFORMATICA;ALGORITMOS I;6;mañana;Ma-Jue;44;26;PRESENCIAL;18
ENERO 2023;DIBA-I;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;DIBUJO APLICADO;2;mañana;Ma-Jue;26;17;EN LINEA;9
ENERO 2023;ECOE-B;Fac_CiEmp;NEGOCIOS;ECONOMÍA EMPRESARIAL;1;mañana;Ma-Jue;27;24;EN LINEA;3
ENERO 2023;CAL3-I;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;MATEMÁTICA IV;1;mañana;Ma-Jue;39;33;EN LINEA;6
ENERO 2023;PSICO-H;Fac_CiSo;PSICOLOGIA;PSICOLOGÍA COMUNITARIA;1;mañana;Ma-Jue;69;62;EN LINEA;7
ENERO 2023;ALG1-E;Fac_InCa;INFORMATICA;ALGORITMOS I;1;mañana;Ma-Jue;88;86;PRESENCIAL;2
ENERO 2023;GSAC-T;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;GESTIÓN DE SERVICIO AL CLIENTE;1;mañana;Ma-Jue;66;51;EN LINEA;15
ENERO 2023;REP1-H;Fac_CiSo;COMUNICACIONES;RELACIONES PÚBLICAS I;1;mañana;Ma-Jue;54;39;EN LINEA;15
ENERO 2023;PROG5-I;Fac_InCa;INFORMATICA;PROGRAMACIÓN V;1;mañana;Ma-Jue;27;22;EN LINEA;5
ENERO 2023;MATF-I;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;MATEMÁTICA FINANCIERA;1;mañana;Ma-Jue;69;50;EN LINEA;19
ENERO 2023;TER1-T;Fac_InCa;INFORMATICA;TECNOLOGÍA CERTIFICADA EN REDES I;1;mañana;Ma-Jue;22;18;EN LINEA;4
ENERO 2023;PSOI-H;Fac_CiSo;PSICOLOGIA;PSICOLOGÍA ORGANIZACIONAL I;1;mañana;Ma-Jue;39;35;EN LINEA;4
ENERO 2023;DEME-D;Fac_Der;DERECHO;DERECHO MERCANTIL;1;mañana;Ma-Jue;72;66;EN LINEA;6
ENERO 2023;EXOE-H;Fac_CiSo;IDIOMAS;EXPRESIÓN ORAL Y ESCRITA DEL ESPAÑOL;3;mañana;Ma-Jue;63;46;PRESENCIAL;17
