fecha;codigo;facultad;area;materia;seccion;horario;dias;evaluacion;tipo;inscritos;examinados;modalidad
2023-02-16;PUB1-H;Fac_CiSo;COMUNICACIONES;PUBLICIDAD I;1;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;15;14;PRESENCIAL
2023-02-16;MAT2-E;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;MATEMÁTICA II;1;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;19;17;PRESENCIAL
2023-02-16;ALG1-E;Fac_InCa;INFORMATICA;ALGORITMOS I;1;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;88;85;PRESENCIAL
2023-02-16;EPRO-AC;Fac_CiSo;ANTROPOLOGIA;ÉTICA;2;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;36;33;PRESENCIAL
2023-02-16;MEPU-AC;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;MEDIOS PUBLICITARIOS GRÁFICOS;1;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;38;36;EN LINEA
2023-02-16;SIOP-N;Fac_InCa;INFORMATICA;SISTEMAS OPERATIVOS;1;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;28;27;EN LINEA
2023-02-16;REA1-A;Fac_CiSo;ANTROPOLOGIA;REALIDAD NACIONAL;2;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;86;79;PRESENCIAL
2023-02-16;MAT2-T;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;MATEMÁTICA II;2;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;17;13;PRESENCIAL
2023-02-16;DEIN-H;Fac_CiSo;PSICOLOGIA;DESARROLLO INDIVIDUAL;2;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;39;35;EN LINEA
2023-02-16;ALG1-E;Fac_InCa;INFORMATICA;ALGORITMOS I;6;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;44;40;PRESENCIAL
2023-02-16;PSOI-H;Fac_CiSo;PSICOLOGIA;PSICOLOGÍA ORGANIZACIONAL I;1;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;39;36;EN LINEA
2023-02-16;DIIN-DG;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;DISEÑO INFOGRÁFICO;1;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;51;26;EN LINEA
2023-02-16;INF1-I;Fac_InCa;INFORMATICA;INFORMÁTICA;3;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;56;49;PRESENCIAL
2023-02-16;TTI-H;Fac_CiSo;IDIOMAS;TÉCNICAS DE TRADUCCIONES E INTERPRETACIÓN;1;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;66;59;EN LINEA
2023-02-16;COA2-I;Fac_CiSo;IDIOMAS;COMPRENSIÓN AUDITIVA II;1;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;43;42;EN LINEA
2023-02-16;EXOE-H;Fac_CiSo;IDIOMAS;EXPRESIÓN ORAL Y ESCRITA DEL ESPAÑOL;3;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;63;54;PRESENCIAL
2023-02-16;REP1-H;Fac_CiSo;COMUNICACIONES;RELACIONES PÚBLICAS I;1;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;53;47;EN LINEA
2023-02-16;ING1-H;Fac_CiSo;IDIOMAS;INGLÉS I;2;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;41;34;PRESENCIAL
2023-02-16;DEME-D;Fac_Der;DERECHO;DERECHO MERCANTIL;5;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;29;27;EN LINEA
2023-02-16;PSIG-H;Fac_CiSo;PSICOLOGIA;PSICOLOGÍA GENERAL;1;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;80;68;PRESENCIAL
2023-02-16;DIMA-DG;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;DISEÑO DE MARKETING;1;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;45;43;EN LINEA
2023-02-16;COI1-H;Fac_CiSo;IDIOMAS;COMPOSICIÓN INGLESA I;2;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;72;69;EN LINEA
2023-02-16;PROG1-I;Fac_InCa;INFORMATICA;PROGRAMACIÓN I;1;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;62;58;EN LINEA
2023-02-16;ING2-H;Fac_CiSo;IDIOMAS;INGLÉS II;2;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;25;23;PRESENCIAL
2023-02-16;DEME-D;Fac_Der;DERECHO;DERECHO MERCANTIL;1;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;72;71;EN LINEA
